"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1966cc01-b973-4ffc-9015-473d90162786",1,0,200,197,197,197,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=19e08816-dcfb-4be6-b565-3e323d978350",1,0,580,578,578,578,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=19e08816-dcfb-4be6-b565-3e323d978350",1,0,190,187,187,187,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1a16ec33-ba5c-4c9b-96ca-b64801e291f3",1,0,2700,2745,2745,2745,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1a16ec33-ba5c-4c9b-96ca-b64801e291f3",1,0,250,254,254,254,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1b968eec-5e13-47af-8744-a5960b59094e",1,0,520,523,523,523,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1b968eec-5e13-47af-8744-a5960b59094e",1,0,240,245,245,245,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1c2093a3-f0b8-4c6e-bd0e-b53a026e7eed",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1c2093a3-f0b8-4c6e-bd0e-b53a026e7eed",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e85930c-b39e-4889-b0b8-cdf7dc311f08",1,0,710,710,710,710,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1e85930c-b39e-4889-b0b8-cdf7dc311f08",1,0,320,322,322,322,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1eb67bd7-695e-4d15-9f94-17c00842ed09",1,0,1100,1065,1065,1065,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1eb67bd7-695e-4d15-9f94-17c00842ed09",1,0,140,137,137,137,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1f61ef59-4507-45df-8850-3c9030696b84",1,0,3000,3025,3025,3025,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1f61ef59-4507-45df-8850-3c9030696b84",1,0,160,165,165,165,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1ff58cce-0b94-4019-845b-4e481f1242b9",1,0,450,448,448,448,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1ff58cce-0b94-4019-845b-4e481f1242b9",1,0,460,463,463,463,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=22f386ff-6143-4722-b7a0-897348444d0c",1,0,470,474,474,474,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=22f386ff-6143-4722-b7a0-897348444d0c",1,0,140,143,143,143,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2394c9a7-8c17-48de-98f1-b077cf58fd0e",1,0,940,944,944,944,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2394c9a7-8c17-48de-98f1-b077cf58fd0e",1,0,620,615,615,615,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2404c01e-79cb-4779-93a7-d8555bd6d773",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2404c01e-79cb-4779-93a7-d8555bd6d773",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=24a3905c-55bd-43e0-859a-ae9552124fc9",1,0,2700,2715,2715,2715,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=24a3905c-55bd-43e0-859a-ae9552124fc9",1,0,390,389,389,389,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=24d8a69f-57ad-4f07-a167-4e667271ead5",1,0,1100,1080,1080,1080,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=24d8a69f-57ad-4f07-a167-4e667271ead5",1,0,190,186,186,186,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=26106681-a89a-4f35-929f-bd5c602601d5",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=26106681-a89a-4f35-929f-bd5c602601d5",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=281c6cd6-1bbb-430f-a9bc-67f3d932edfb",1,0,400,404,404,404,15,0.02
