"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1eaa301a-b1af-4c9f-a10c-c3461f590645",1,0,320,320,320,320,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1eb7d4df-0163-4518-a528-9bf661e714b8",1,0,660,657,657,657,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1eb7d4df-0163-4518-a528-9bf661e714b8",1,0,190,189,189,189,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1fdd568d-d803-4d7d-afcf-242bbd94eb31",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=1fdd568d-d803-4d7d-afcf-242bbd94eb31",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2335bc21-431d-4d29-8387-18ff1e0eeef8",1,0,1000,1012,1012,1012,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2335bc21-431d-4d29-8387-18ff1e0eeef8",1,0,240,238,238,238,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=26dbe9bf-1b7e-444a-b8b5-6acc3b2daf17",1,0,940,945,945,945,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=26dbe9bf-1b7e-444a-b8b5-6acc3b2daf17",1,0,280,279,279,279,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=278f516f-6c45-4baf-81da-20b54e24656c",1,0,4000,3987,3987,3987,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=278f516f-6c45-4baf-81da-20b54e24656c",1,0,180,183,183,183,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2ad15581-c776-4e37-8139-2ab4313ea698",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2ad15581-c776-4e37-8139-2ab4313ea698",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2bf259c0-7fa4-45e8-94e1-51e7023faf4e",1,0,5900,5883,5883,5883,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2bf259c0-7fa4-45e8-94e1-51e7023faf4e",1,0,300,303,303,303,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c0e694a-44b6-4d89-9ee3-ffb47a9a9254",1,0,1500,1523,1523,1523,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2c0e694a-44b6-4d89-9ee3-ffb47a9a9254",1,0,260,261,261,261,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2e69962d-9dcb-418b-9886-6d2de3450d9b",1,0,1100,1103,1103,1103,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2e69962d-9dcb-418b-9886-6d2de3450d9b",1,0,180,185,185,185,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2f2daf19-19ac-43c3-afc0-96b63528f181",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2f2daf19-19ac-43c3-afc0-96b63528f181",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2f42bae5-b87d-4038-a990-5f3063883ea4",1,0,1200,1190,1190,1190,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=2f42bae5-b87d-4038-a990-5f3063883ea4",1,0,340,340,340,340,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=305447ad-a081-4496-b1ae-2edfeb56d373",1,0,4600,4570,4570,4570,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=305447ad-a081-4496-b1ae-2edfeb56d373",1,0,380,377,377,377,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=314dd038-4bbb-43f6-846f-ee5cbc318de5",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=314dd038-4bbb-43f6-846f-ee5cbc318de5",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33801b39-b0e3-4763-badc-8fe1319f3f54",1,0,4200,4214,4214,4214,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33801b39-b0e3-4763-badc-8fe1319f3f54",1,0,210,206,206,206,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33c1d231-edef-434e-8842-194fa7db92d3",1,0,570,570,570,570,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33c1d231-edef-434e-8842-194fa7db92d3",1,0,250,252,252,252,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33cf3953-f097-4ba9-ac18-28fb80115a15",1,0,5300,5303,5303,5303,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33cf3953-f097-4ba9-ac18-28fb80115a15",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=34ad811d-2726-470c-ab65-b9a1ba4ced11",1,0,450,452,452,452,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=34ad811d-2726-470c-ab65-b9a1ba4ced11",1,0,320,320,320,320,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=357b97c2-6468-4bb4-9165-255746db3572",1,0,7200,7164,7164,7164,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=357b97c2-6468-4bb4-9165-255746db3572",1,0,300,305,305,305,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=38d52f72-ce46-402a-8e06-d3fa2d667d51",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=38d52f72-ce46-402a-8e06-d3fa2d667d51",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=38ef6e3e-92de-4c20-ad90-3ec082a1f233",1,0,850,846,846,846,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=38ef6e3e-92de-4c20-ad90-3ec082a1f233",1,0,480,476,476,476,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=397153e5-5d39-4807-9d08-0dffc7f3ac78",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=397153e5-5d39-4807-9d08-0dffc7f3ac78",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=398f1d2a-b0f7-4fae-acff-550a0b3080c4",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=398f1d2a-b0f7-4fae-acff-550a0b3080c4",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3c30e90b-7d58-4cfe-97c8-8e44961e56bc",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3c30e90b-7d58-4cfe-97c8-8e44961e56bc",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3d100456-bde3-4263-9e22-a9dc4b68dd08",1,0,1200,1193,1193,1193,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3d100456-bde3-4263-9e22-a9dc4b68dd08",1,0,200,197,197,197,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=41ad0721-fdf9-42ec-81c6-8e350bb09022",1,0,3900,3857,3857,3857,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=41ad0721-fdf9-42ec-81c6-8e350bb09022",1,0,3300,3307,3307,3307,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=41c0e582-aca1-46a3-b967-d2b31451cffb",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=41c0e582-aca1-46a3-b967-d2b31451cffb",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=43622fbe-cb99-416e-bac3-6e0467f30787",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=43622fbe-cb99-416e-bac3-6e0467f30787",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=438050fb-bca3-4fe5-bbd9-959216a2f6c4",1,0,4100,4095,4095,4095,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=438050fb-bca3-4fe5-bbd9-959216a2f6c4",1,0,520,519,519,519,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=45009e9e-e3ec-4208-97c6-6ce15530af43",1,0,1800,1763,1763,1763,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=45009e9e-e3ec-4208-97c6-6ce15530af43",1,0,570,567,567,567,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=45820920-c853-4989-8f28-b31145b3f396",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=45820920-c853-4989-8f28-b31145b3f396",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=46ed781c-ff51-49f0-8a09-f94b88ef6a06",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=46ed781c-ff51-49f0-8a09-f94b88ef6a06",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4704bb88-24e8-4dbb-a259-33eaa934bd35",0,0,0,0,0,0,0,0.00
