Users,Requests,Datacenter,Min,Max,Mean,Median,StandardDev
1250,4,Datacenter_Europe,513.5643743820032,32370.166528297592,16209.872351284042,16219.660781599841,9131.963049798762
1250,4,Datacenter_Asia,1423.7928951508309,17693.69140552717,9057.596474825406,9166.487761548162,4575.629421910566
1250,5,Datacenter_NorthAmerica,1176.3248942642422,21753.523927301496,10756.178510074638,10621.747111794723,5713.241359337757
1250,5,Datacenter_SouthAmerica,1470.2076399781654,21818.35448292834,11077.179173987082,10974.044325491428,5716.199280061721
1250,5,Datacenter_Europe,510.66946192320194,40258.08426377698,20166.823832198814,20220.37018683559,11435.147790813908
1250,5,Datacenter_Asia,1427.863964545724,21577.503686737953,11023.771966210048,10844.046159897129,5713.2462092165615
1500,1,Datacenter_NorthAmerica,1172.6020693951382,6201.578391876496,3250.8764331397497,3007.6633020845684,1409.2621892354953
1500,1,Datacenter_SouthAmerica,1468.7826579337984,6420.360356942774,3547.8803058548733,3342.3929156599834,1413.0620016295406
1500,1,Datacenter_Europe,511.5905393309991,10116.97585333601,5141.081590476089,5161.956356941404,2745.820680228377
1500,1,Datacenter_Asia,1432.446023498631,6489.250949983553,3613.5151905052185,3431.313603007912,1409.00220785314
1500,2,Datacenter_NorthAmerica,1168.3469135211978,11009.267033059716,5635.724479662131,5441.535786063058,2765.0701003101995
1500,2,Datacenter_SouthAmerica,1479.789006669043,11355.910295108359,5935.456921802956,5768.266149874949,2769.9037192133574
1500,2,Datacenter_Europe,510.91156153637877,19685.758826819143,9885.291486126896,9843.100421300422,5484.076719523188
1500,2,Datacenter_Asia,1426.4335302231207,11560.509233467434,5896.6483024478,5686.227035221367,2778.442989929589
1500,3,Datacenter_NorthAmerica,1171.1323159648064,16264.901691795194,8021.550300194588,7892.738995578165,4122.120555945511
1500,3,Datacenter_SouthAmerica,1472.8636574708416,16665.37662657346,8328.963038460333,8224.289498784,4118.070371498396
1500,3,Datacenter_Europe,510.4988493543505,29339.20914764619,14625.964962154483,14636.66633791833,8229.70212203967
1500,3,Datacenter_Asia,1421.0313767415996,16499.79648381199,8216.100795836799,8120.433242767374,4127.858514044142
1500,4,Datacenter_NorthAmerica,1168.9416934699507,20467.47584408803,10364.651319313167,10350.76296109871,5487.605077864558
1500,4,Datacenter_SouthAmerica,1474.2358444502445,20578.9460937716,10649.506163184948,10621.718849063906,5475.815890508864
1500,4,Datacenter_Europe,511.5540526872241,38978.878826898326,19366.372208556826,19314.133838665257,10974.79982880558
1500,4,Datacenter_Asia,1421.042391875877,20671.32062667408,10569.847557012206,10530.08636402664,5474.997176663356
1500,5,Datacenter_NorthAmerica,1169.889193190636,25564.183229568618,12780.111295980845,12824.483215519635,6855.084477154446
1500,5,Datacenter_SouthAmerica,1479.2381059322652,25730.540909123752,13029.206777483874,13108.99699202536,6841.808069517115
1500,5,Datacenter_Europe,521.4209929188788,48981.09028922382,24132.694418630737,24212.50967997744,13710.501227821813
1500,5,Datacenter_Asia,1424.0614961896226,26015.435237253532,13039.662440160291,13085.229913546482,6865.385199989955
